feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm,group_id,group_name
psd_power,0.45240021979562,0.5421632363495765,trainval,0.8344354420666049,test,0.0017797676740499,0.0012584483766939,0.970556108470872,22,7,0.7742421657598534,0.0369018455809809,0.8111440113408344,1,Basic Time-Domain & Power Features (18)
spec_centroid_Hz,0.4510850363336864,0.5405871006827161,trainval,0.8344354420666049,test,0.0003716284852235,0.0005588082399852,0.970556108470872,23,24,0.7719913479056997,0.0077053747942311,0.7796967226999308,2,Global Spectral Shape Features (6)
pre_rms,0.4526861634087564,0.542505915481743,trainval,0.8344354420666049,test,-9.386890519771372e-05,0.0009411752966995,0.970556108470872,21,54,0.7747315324591443,-0.0019462854028466,0.7727852470562977,1,Basic Time-Domain & Power Features (18)
instf_mean_Hz,0.4382410431015417,0.5251946657684768,trainval,0.8344354420666049,test,0.000854146346792,0.0009632493828246,0.970556108470872,24,13,0.7500100121283804,0.0177099388040646,0.767719950932445,4,Instantaneous Frequency Features (5)
env_p95_over_p50,0.4047980535146191,0.4851160834109297,trainval,0.8344354420666049,test,0.0002710247711708,0.0009379790051661,0.970556108470872,27,30,0.6927753522978417,0.0056194493248707,0.6983948016227124,9,"Inequality, Symmetry, DC Notch & Peakiness (6)"
spec_rolloff95_Hz,0.406831220934615,0.4875526618656516,trainval,0.8344354420666049,test,2.368881081606933e-05,0.0003013389189348,0.970556108470872,26,42,0.6962549349278437,0.000491165701837,0.6967461006296808,2,Global Spectral Shape Features (6)
instf_dZCR_per_s,0.3739168160696311,0.4481075433991273,trainval,0.8344354420666049,test,-0.0001463934449505,0.0004229445948758,0.970556108470872,28,56,0.6399249001659807,-0.0030353334192994,0.6368895667466812,4,Instantaneous Frequency Features (5)
strong_bins_mean,0.3239737159789524,0.3882549801295386,trainval,0.8344354420666049,test,0.0031793294029466,0.0029243259442408,0.970556108470872,30,4,0.554451789661222,0.0659204706261649,0.6203722602873869,10,STFT-based Time–Frequency Dynamics (5)
meanI,0.3543062580986489,0.4246059554004036,trainval,0.8344354420666049,test,0.0003143431257027,0.0006289711983474,0.970556108470872,29,28,0.6063631992409197,0.0065176155591868,0.6128808148001066,1,Basic Time-Domain & Power Features (18)
mag_std,0.3190974932424555,0.3824112413683706,trainval,0.8344354420666049,test,0.000367021253295,0.0007649595004667,0.970556108470872,32,25,0.5461065743252559,0.0076098480782109,0.5537164224034669,1,Basic Time-Domain & Power Features (18)
env_mod_index,0.3191646304938382,0.3824916996614849,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,31,45,0.5462214736746356,0.0,0.5462214736746356,6,"Narrowband Peaks, AM & Chirp Features (8)"
ZCR_Q,0.3147632742639914,0.3772170480731652,trainval,0.8344354420666049,test,0.0003526212301801,0.0004734350664358,0.970556108470872,35,26,0.5386889495277271,0.0073112768449572,0.5460002263726843,1,Basic Time-Domain & Power Features (18)
mag_mean,0.3188182663495849,0.3820766116549214,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,33,49,0.5456287026867933,0.0,0.5456287026867933,1,Basic Time-Domain & Power Features (18)
spec_peak_freq_Hz,0.316837707274282,0.3797030798327379,trainval,0.8344354420666049,test,-0.0003474293236919,0.0005576342440738,0.970556108470872,34,64,0.5422391544930049,-0.0072036274397606,0.5350355270532442,2,Global Spectral Shape Features (6)
spec_kurtosis_mean,0.1807856130725347,0.216656201257214,trainval,0.8344354420666049,test,0.0107942722774491,0.0012723032040493,0.970556108470872,51,2,0.309398268344646,0.2238093064332771,0.5332075747779232,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
ZCR_I,0.3094771503714733,0.370882077593692,trainval,0.8344354420666049,test,-0.0004094798844688,0.001043160329456,0.970556108470872,36,68,0.5296422253398672,-0.0084901887395247,0.5211520366003425,1,Basic Time-Domain & Power Features (18)
oob_ratio,0.3013180555631647,0.3611040955030687,trainval,0.8344354420666049,test,0.0001773905898941,0.0010694332515736,0.970556108470872,37,37,0.515678670596506,0.003678030706614,0.51935670130312,1,Basic Time-Domain & Power Features (18)
env_gini,0.298114679578312,0.3572651214814009,trainval,0.8344354420666049,test,-7.000942137347365e-07,0.0003155115710951,0.970556108470872,38,50,0.5101963815707051,-1.4515809531807465e-05,0.5101818657611733,9,"Inequality, Symmetry, DC Notch & Peakiness (6)"
nb_spacing_std_Hz,0.2726941660378439,0.3268007952328532,trainval,0.8344354420666049,test,-0.000324459933465,0.0007668582091215,0.970556108470872,39,61,0.4666914657968107,-0.0067273782620719,0.4599640875347388,6,"Narrowband Peaks, AM & Chirp Features (8)"
kurtI,0.2633218607556786,0.3155688834399489,trainval,0.8344354420666049,test,0.0002452003453963,0.0005306778948623,0.970556108470872,42,32,0.4506516107695423,0.0050840036113411,0.4557356143808834,8,Higher-order I/Q Stats & Circularity (6)
kurt_env,0.2606306018699309,0.3123436382621045,trainval,0.8344354420666049,test,0.0002142782515409,0.0007975496692263,0.970556108470872,43,35,0.4460457639614592,0.0044428624393044,0.4504886264007636,1,Basic Time-Domain & Power Features (18)
kurtQ,0.2644332198043693,0.3169007528604737,trainval,0.8344354420666049,test,-0.0003248123074344,0.0007139527908764,0.970556108470872,40,62,0.452553601527159,-0.0067346844121914,0.4458189171149676,8,Higher-order I/Q Stats & Circularity (6)
bandpower_3,0.2539649397960353,0.3043554084508358,trainval,0.8344354420666049,test,0.0003994989875334,0.0008919059087038,0.970556108470872,44,22,0.4346380846224708,0.0082832440226151,0.4429213286450859,3,Band Power Distribution (8)
nb_spacing_med_Hz,0.2639531641778461,0.3163254469682236,trainval,0.8344354420666049,test,-0.0007694762462136,0.0001892611321883,0.970556108470872,41,73,0.4517320296275422,-0.0159543821533699,0.4357776474741722,6,"Narrowband Peaks, AM & Chirp Features (8)"
PAPR_dB,0.2318597735356373,0.2778642443103827,trainval,0.8344354420666049,test,-2.0501130508066013e-05,0.0007655607522522,0.970556108470872,46,52,0.396807086645361,-0.0004250720828762,0.3963820145624848,1,Basic Time-Domain & Power Features (18)
crest_env,0.2320860815003813,0.2781354551834294,trainval,0.8344354420666049,test,-0.0005427855834513,0.0005025026274025,0.970556108470872,45,71,0.3971943923120807,-0.0112541597850936,0.3859402325269871,1,Basic Time-Domain & Power Features (18)
cyclo_halfchip_corr,0.221621870310545,0.2655949869071538,trainval,0.8344354420666049,test,-1.870746291083858e-05,0.0003627450154195,0.970556108470872,48,51,0.3792858388232086,-0.0003878820351741,0.3788979567880345,11,"Extra Cyclo Lags, Chirp Curvature, DME IPIs (5)"
cyclo_2chip_corr,0.2216134838563745,0.2655849364541797,trainval,0.8344354420666049,test,-0.0001120022407021,0.0007430293389361,0.970556108470872,49,55,0.3792714861634268,-0.0023222634343659,0.3769492227290608,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
meanQ,0.223596075328825,0.2679609039317119,trainval,0.8344354420666049,test,-0.0003662524331257,0.0005554655149412,0.970556108470872,47,66,0.3826645126215937,-0.0075939072992088,0.3750706053223849,1,Basic Time-Domain & Power Features (18)
stft_centroid_absderiv_med_Hzps,0.2170015392422468,0.2600579125747702,trainval,0.8344354420666049,test,-0.0006977917876589,0.0007452108486148,0.970556108470872,50,72,0.3713785589937187,-0.0144680708450391,0.3569104881486795,10,STFT-based Time–Frequency Dynamics (5)
instf_slope_Hzps,0.1286421350942079,0.1541666719903535,trainval,0.8344354420666049,test,0.0014290305284943,0.000687981016034,0.970556108470872,57,10,0.2201594095783317,0.0296296334976165,0.2497890430759482,4,Instantaneous Frequency Features (5)
stdI,0.1414183404180808,0.1694778688544641,trainval,0.8344354420666049,test,0.0002995925430893,0.0010883810764363,0.970556108470872,53,29,0.2420247324657007,0.0062117757971964,0.2482365082628971,1,Basic Time-Domain & Power Features (18)
chirp_curvature_Hzps2,0.1394180776905915,0.1670807238787721,trainval,0.8344354420666049,test,-0.0002719199455555,0.001042775266708,0.970556108470872,55,58,0.2386014632486351,-0.0056380099423015,0.2329634533063335,11,"Extra Cyclo Lags, Chirp Curvature, DME IPIs (5)"
spec_kurtosis_max,0.1395800825757216,0.1672748729728336,trainval,0.8344354420666049,test,-0.0004073154892239,0.0009758373566404,0.970556108470872,54,67,0.2388787199952906,-0.0084453119950653,0.2304334080002253,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
circularity_phase_rad,0.1275576268939171,0.1528669810309129,trainval,0.8344354420666049,test,0.0005846377249069,0.0008046550026443,0.970556108470872,58,17,0.218303371625572,0.0121219254399862,0.2304252970655582,8,Higher-order I/Q Stats & Circularity (6)
chirp_slope_Hzps,0.1429616411417231,0.1713273836831009,trainval,0.8344354420666049,test,-0.0010668349958392,0.0004683265858195,0.970556108470872,52,77,0.2446659524351148,-0.0221198422978776,0.2225461101372372,6,"Narrowband Peaks, AM & Chirp Features (8)"
env_ac_lag_s,0.1356344582484598,0.1625463773596921,trainval,0.8344354420666049,test,-0.000977987927492,0.0009155185199473,0.970556108470872,56,74,0.2321261398886895,-0.020277680062731,0.2118484598259584,1,Basic Time-Domain & Power Features (18)
dc_notch_ratio,0.1254515534232034,0.150343030867078,trainval,0.8344354420666049,test,-0.000284344697978,0.0010276573487734,0.970556108470872,59,60,0.2146990168665239,-0.0058956257547254,0.2088033911117985,9,"Inequality, Symmetry, DC Notch & Peakiness (6)"
stft_centroid_zcr_per_s,0.1110343176104091,0.1330651983518533,trainval,0.8344354420666049,test,0.0007302189212725,0.000793951455185,0.970556108470872,60,15,0.1900252183325374,0.0151404176320345,0.2051656359645719,10,STFT-based Time–Frequency Dynamics (5)
corrIQ,0.0764329356357798,0.0915983811120032,trainval,0.8344354420666049,test,0.0006846857610883,0.0008926283038035,0.970556108470872,63,16,0.1308080744274708,0.0141963294398325,0.1450044038673033,1,Basic Time-Domain & Power Features (18)
stdQ,0.0742675773815759,0.0890033831708312,trainval,0.8344354420666049,test,0.0004425935369325,0.0005167248385885,0.970556108470872,64,20,0.1271022591094806,0.0091767698633725,0.1362790289728531,1,Basic Time-Domain & Power Features (18)
fh_hop_rate_per_s,0.0781186320259501,0.0936185450518228,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,62,46,0.1336929917348246,0.0,0.1336929917348246,10,STFT-based Time–Frequency Dynamics (5)
cyclo_5chip_corr,0.0855695516755437,0.1025478393674384,trainval,0.8344354420666049,test,-0.0010261099443509,0.0003427695574141,0.970556108470872,61,76,0.1464445685775815,-0.0212754458166909,0.1251691227608905,11,"Extra Cyclo Lags, Chirp Curvature, DME IPIs (5)"
cyclo_chip_corr,0.0613849897193834,0.0735646961104076,trainval,0.8344354420666049,test,0.0002467627677579,0.0005978575683017,0.970556108470872,65,31,0.1050548724466864,0.0051163990017963,0.1101712714484828,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
circularity_mag,0.0458309696386218,0.0549245242089844,trainval,0.8344354420666049,test,0.0001530807980163,0.0006105884482734,0.970556108470872,66,39,0.0784355701858662,0.0031739895336774,0.0816095597195437,8,Higher-order I/Q Stats & Circularity (6)
cumulant_c42_mag,0.0422655251974546,0.0506516418966789,trainval,0.8344354420666049,test,0.000386577105069,0.0006194755351687,0.970556108470872,68,23,0.0723336336587954,0.0080153206760622,0.0803489543348577,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
cumulant_c40_mag,0.0438185423939598,0.0525128010927204,trainval,0.8344354420666049,test,-0.0003619898495381,0.0006878679575817,0.970556108470872,67,65,0.0749914824950045,-0.0075055265495083,0.0674859559454962,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
dme_duty,0.0333442266844459,0.0399602234078935,trainval,0.8344354420666049,test,0.0002079131381912,0.0004564112495137,0.970556108470872,69,36,0.0570656360322193,0.0043108876690253,0.0613765237012447,5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)"
dme_ipi_std_s,0.0179586752590019,0.0215219468800661,trainval,0.8344354420666049,test,0.0010933267119983,0.0002994535031713,0.970556108470872,71,11,0.0307346526776426,0.0226691236637164,0.0534037763413591,11,"Extra Cyclo Lags, Chirp Curvature, DME IPIs (5)"
dme_pulse_count,0.0193919263285478,0.0232395765459347,trainval,0.8344354420666049,test,-0.0002119167606452,0.0003237081988955,0.970556108470872,70,57,0.0331875325915032,-0.0043938990978285,0.0287936334936746,5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)"
skewQ,0.0124587752223213,0.0149307838500546,trainval,0.8344354420666049,test,0.0002279128664717,0.0005985432610227,0.970556108470872,75,34,0.0213220699035094,0.0047255636379338,0.0260476335414433,8,Higher-order I/Q Stats & Circularity (6)
dme_ipi_med_s,0.0174639093262665,0.0209290119353206,trainval,0.8344354420666049,test,-0.0002829042862446,0.000345774571678,0.970556108470872,72,59,0.0298879054159407,-0.0058657601424121,0.0240221452735286,11,"Extra Cyclo Lags, Chirp Curvature, DME IPIs (5)"
chirp_r2,0.0164538944582763,0.0197185949071456,trainval,0.8344354420666049,test,-0.0003304906650449,0.0007228683992338,0.970556108470872,74,63,0.0281593560814695,-0.0068524199339405,0.021306936147529,6,"Narrowband Peaks, AM & Chirp Features (8)"
env_dom_peak_norm,0.0034222921330795,0.004101326430483,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,76,44,0.0058569442653574,0.0,0.0058569442653574,6,"Narrowband Peaks, AM & Chirp Features (8)"
cep_peak_env,0.0,0.0,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,77,48,0.0,0.0,0.0,5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)"
env_dom_freq_Hz,0.0,0.0,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,78,47,0.0,0.0,0.0,6,"Narrowband Peaks, AM & Chirp Features (8)"
skewI,0.0167408322656028,0.0200624654966017,trainval,0.8344354420666049,test,-0.0014500356041162,0.0007725365157967,0.970556108470872,73,78,0.0286504242544319,-0.0300651544188685,-0.0014147301644365,8,Higher-order I/Q Stats & Circularity (6)
